order_id,order_name,created_at,created_at_melbourne,created_date_melbourne,processed_at,processed_at_melbourne,source_name,attribution_handle,app_id,app_name,financial_status,fulfillment_status,cancelled_at,cancel_reason,test,edited,fully_paid,payment_gateway_names,presentment_currency,shipping_country_code,line_item_count,current_total_amount,total_refunded_amount,found_in_ga4_purchase_events,found_in_ga4_purchase_items,classification
6609336565899,STE138351,2026-07-02T03:08:27Z,2026-07-02T13:08:27+10:00,2026-07-02,2026-07-02T03:08:27Z,2026-07-02T13:08:27+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6609337155723,STE138352,2026-07-02T03:09:02Z,2026-07-02T13:09:02+10:00,2026-07-02,2026-07-02T03:08:58Z,2026-07-02T13:08:58+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,188.0,0.0,False,False,absent_from_ga4
6609339252875,STE138353,2026-07-02T03:11:09Z,2026-07-02T13:11:09+10:00,2026-07-02,2026-07-02T03:11:08Z,2026-07-02T13:11:08+10:00,shopify_draft_order,shopify-draft-orders,gid://shopify/App/1354745,Draft Orders,PAID,FULFILLED,,,False,False,True,,AUD,AU,1,0.0,0.0,False,False,absent_from_ga4
6609389748363,STE138354,2026-07-02T04:02:10Z,2026-07-02T14:02:10+10:00,2026-07-02,2026-07-02T04:02:05Z,2026-07-02T14:02:05+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,4,486.0,0.0,True,True,complete_ga4_purchase
6609409704075,STE138355,2026-07-02T04:16:58Z,2026-07-02T14:16:58+10:00,2026-07-02,2026-07-02T04:16:54Z,2026-07-02T14:16:54+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,2,168.0,0.0,True,True,complete_ga4_purchase
6609416716427,STE138356,2026-07-02T04:24:23Z,2026-07-02T14:24:23+10:00,2026-07-02,2026-07-02T04:24:19Z,2026-07-02T14:24:19+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,99.0,0.0,True,True,complete_ga4_purchase
6609602347147,STE138357,2026-07-02T05:30:26Z,2026-07-02T15:30:26+10:00,2026-07-02,2026-07-02T05:30:22Z,2026-07-02T15:30:22+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,3,267.0,0.0,True,True,complete_ga4_purchase
6609694523531,STE138358,2026-07-02T07:06:53Z,2026-07-02T17:06:53+10:00,2026-07-02,2026-07-02T07:06:49Z,2026-07-02T17:06:49+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,CHF,CH,2,586.77,0.0,False,False,absent_from_ga4
6609717756043,STE138359,2026-07-02T07:23:09Z,2026-07-02T17:23:09+10:00,2026-07-02,2026-07-02T07:23:06Z,2026-07-02T17:23:06+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,79.0,0.0,True,True,complete_ga4_purchase
6609742528651,STE138360,2026-07-02T07:54:12Z,2026-07-02T17:54:12+10:00,2026-07-02,2026-07-02T07:54:07Z,2026-07-02T17:54:07+10:00,web,web,gid://shopify/App/580111,Online Store,PAID,FULFILLED,,,False,False,True,shopify_payments,AUD,AU,1,141.0,0.0,True,True,complete_ga4_purchase
