order_id,order_name,line_item_graphql_id,name,title,variant_title,sku,quantity,current_quantity,variant_graphql_id,variant_id,product_graphql_id,product_id,product_title,original_unit_price_shop_amount,original_unit_price_shop_currency,original_unit_price_presentment_amount,original_unit_price_presentment_currency,discounted_total_shop_amount,discounted_total_shop_currency,discounted_total_presentment_amount,discounted_total_presentment_currency
6619253342347,STE138535,gid://shopify/LineItem/16058454212747,Mae Mini Dress - Sapphire - S,Mae Mini Dress - Sapphire,S,STC664-S,1,1,gid://shopify/ProductVariant/45882149666955,45882149666955,gid://shopify/Product/8087087612043,8087087612043,Mae Mini Dress - Sapphire,179.0,AUD,179.0,AUD,179.0,AUD,179.0,AUD
6619275559051,STE138536,gid://shopify/LineItem/16058490519691,Georgie Dress - Azure Stripe - M,Georgie Dress - Azure Stripe,M,STC492-M,1,1,gid://shopify/ProductVariant/43954513707147,43954513707147,gid://shopify/Product/7901687578763,7901687578763,Georgie Dress - Azure Stripe,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
6619299643531,STE138537,gid://shopify/LineItem/16058531119243,Coco Skirt - Palm Stripe - XS,Coco Skirt - Palm Stripe,XS,STC466-XS,1,1,gid://shopify/ProductVariant/44384281362571,44384281362571,gid://shopify/Product/7957185626251,7957185626251,Coco Skirt - Palm Stripe,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6619299643531,STE138537,gid://shopify/LineItem/16058531152011,Coco Top - Palm Stripe - XS,Coco Top - Palm Stripe,XS,STC467-XS,1,1,gid://shopify/ProductVariant/44384281526411,44384281526411,gid://shopify/Product/7957185659019,7957185659019,Coco Top - Palm Stripe,79.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD
6619303182475,STE138538,gid://shopify/LineItem/16058536820875,Camila Mini Dress - Rainbow Stripe - M,Camila Mini Dress - Rainbow Stripe,M,STC438-M,1,1,gid://shopify/ProductVariant/44384277954699,44384277954699,gid://shopify/Product/7957184970891,7957184970891,Camila Mini Dress - Rainbow Stripe,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6619306754187,STE138539,gid://shopify/LineItem/16058542555275,Melina Blouse  - White - S,Melina Blouse  - White,S,STC527-S,1,1,gid://shopify/ProductVariant/45031977517195,45031977517195,gid://shopify/Product/8031566430347,8031566430347,Melina Blouse  - White,109.0,AUD,109.0,AUD,109.0,AUD,109.0,AUD
6619319730315,STE138540,gid://shopify/LineItem/16058562740363,Remi Blouse - Chalk - XL,Remi Blouse - Chalk,XL,STC379-XL,1,0,gid://shopify/ProductVariant/43691659755659,43691659755659,gid://shopify/Product/7865910984843,7865910984843,Remi Blouse - Chalk,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6619320451211,STE138541,gid://shopify/LineItem/16058563887243,Hanne Coat - Citron Check - S,Hanne Coat - Citron Check,S,STC675-S,1,1,gid://shopify/ProductVariant/45560627298443,45560627298443,gid://shopify/Product/8079982592139,8079982592139,Hanne Coat - Citron Check,259.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD
6619342176395,STE138542,gid://shopify/LineItem/16058598588555,Adelina Dress - Ivory - L,Adelina Dress - Ivory,L,STC460-L,1,1,gid://shopify/ProductVariant/44384280445067,44384280445067,gid://shopify/Product/7957185429643,7957185429643,Adelina Dress - Ivory,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6619342176395,STE138542,gid://shopify/LineItem/16058598621323,Georgie Dress - Lemon - L,Georgie Dress - Lemon,L,STC493-L,1,1,gid://shopify/ProductVariant/43954517082251,43954517082251,gid://shopify/Product/7901687677067,7901687677067,Georgie Dress - Lemon,159.0,AUD,159.0,AUD,159.0,AUD,159.0,AUD
